buffer_size,time
45,206.064996
46,206.225936
47,206.841178
46,207.066599
47,207.496303
46,208.06821
47,208.085698
48,208.70561
49,209.061002
48,209.069729
49,209.697492
48,210.071008
49,210.359237
48,211.072639
47,212.07448
46,213.076376
45,214.082052
44,215.083047
45,215.568296
44,216.084878
45,216.131787
46,216.717953
45,217.086564
46,217.168415
47,217.748537
46,218.09341
47,218.380846
48,218.862562
47,219.095017
48,219.498158
47,220.096715
48,220.100655
47,221.098082
46,222.099051
45,223.100583
44,224.102389
43,225.104028
44,225.251916
45,225.862753
44,226.105529
45,226.462676
46,227.067762
45,227.106934
46,227.717929
45,228.108661
46,228.367344
47,228.966649
46,229.110165
47,229.593237
48,230.075444
47,230.1121
46,231.113635
45,232.115193
44,233.116967
43,234.118596
42,235.119032
43,235.264117
44,235.774388
43,236.120737
44,236.413441
45,237.046067
44,237.122518
45,237.621767
44,238.123123
45,238.257488
46,238.832398
45,239.125576
46,239.445725
47,239.974969
46,240.13099
45,241.133769
44,242.135161
43,243.136816
42,244.138241
43,245.095853
42,245.139
43,245.662031
42,246.142068
43,246.256763
44,246.844855
43,247.143038
44,247.417657
45,247.960171
44,248.144414
45,248.551679
44,249.145865
45,249.231975
46,249.80007
45,250.147018
44,251.14852
43,252.149911
42,253.151101
41,254.152714
42,255.117001
41,255.154331
42,255.600653
41,256.156107
42,256.237511
43,257.003588
44,257.156031
43,257.157721
44,257.582407
45,258.067899
44,258.162015
45,258.636987
44,259.163102
45,259.217916
46,259.827042
45,260.164587
46,260.399703
45,261.165976
44,262.168108
43,263.169647
42,264.171093
41,265.172895
42,265.628223
41,266.17437
42,266.242859
43,266.86938
42,267.176203
43,267.464238
44,268.067837
43,268.17814
44,268.686816
43,269.179026
44,269.269424
45,269.87801
44,270.180492
45,270.547214
44,271.182345
43,272.183011
42,273.184468
41,274.185817
40,275.187123
41,275.712968
40,276.188469
41,276.302611
42,276.876471
41,277.189878
42,277.507674
43,278.093573
42,278.190969
43,278.814333
42,279.192609
43,279.409974
44,279.955278
43,280.194059
42,281.195065
41,282.196636
40,283.19828
39,284.199141
40,285.175969
39,285.201637
40,285.763981
39,286.203668
40,286.377236
41,287.021429
40,287.205576
41,287.720571
40,288.207131
41,288.350645
42,288.945899
41,289.208465
42,289.580173
41,290.21019
42,290.250891
41,291.211007
40,292.212855
39,293.214185
38,294.215133
37,295.216585
38,295.432974
39,296.042243
38,296.217937
39,296.675218
38,297.219092
39,297.322494
40,298.009939
39,298.220465
40,298.47911
41,298.855705
40,299.222086
41,299.326677
42,299.847372
41,300.22303
40,301.224492
39,302.225834
38,303.22728
37,304.228716
38,305.09209
37,305.230256
38,305.656072
37,306.231101
38,306.335245
39,306.947866
38,307.232451
39,307.588362
38,308.234023
39,308.296802
40,308.854628
39,309.235166
40,309.479029
41,310.107943
40,310.237088
39,311.238682
38,312.240493
37,313.242164
36,314.242967
35,315.244572
36,315.284755
35,316.246705
34,317.248216
33,318.255043
32,319.256467
31,320.257822
32,320.460674
33,321.069861
32,321.259075
33,321.683966
32,322.26083
33,322.274525
34,322.93659
33,323.262258
34,323.508871
35,324.153254
34,324.263149
35,324.815975
34,325.267453
35,325.293464
34,326.268822
33,327.270268
32,328.27103
31,329.27247
30,330.273914
31,330.432045
32,330.867696
33,331.263488
32,331.275191
33,331.720125
34,332.173457
33,332.276559
34,332.678353
35,333.15088
34,333.278435
35,333.631002
36,334.100219
35,334.279096
36,334.562783
37,334.949928
36,335.280598
35,336.281065
34,337.283637
33,338.285394
32,339.286721
33,340.048236
32,340.288526
33,340.498639
34,340.909665
33,341.295167
34,341.552229
35,342.019682
34,342.296554
35,342.436069
36,342.870297
35,343.297932
36,343.310187
37,343.778228
38,344.214703
37,344.299175
38,344.686456
39,345.130457
38,345.300728
37,346.302147
36,347.303214
35,348.304683
34,349.306086
35,350.16072
36,350.239413
35,350.30703
36,350.358213
37,350.46086
38,350.565656
39,350.687606
40,350.791042
41,350.948624
42,351.052685
43,351.200399
44,351.305927
43,351.30887
44,351.401655
45,351.501586
46,351.654166
47,351.777829
48,351.895659
49,352.016407
50,352.121867
51,352.227002
50,352.311116
51,352.393751
52,352.545482
53,352.672148
54,352.743551
55,352.877529
56,352.987113
57,353.107268
58,353.211975
57,353.314489
58,353.335497
59,353.46472
60,353.588614
59,354.314995
60,354.436034
59,355.317432
60,356.201913
59,356.321349
60,357.319529
59,357.323215
60,358.118002
59,358.329369
60,359.169588
59,359.331025
60,360.254515
59,360.332559
58,361.339131
57,362.34081
56,363.34244
55,364.344141
54,365.345798
55,365.620593
54,366.347056
55,366.379233
56,366.87154
55,367.34845
56,367.428347
57,368.05464
56,368.349872
57,368.737177
58,369.238823
57,369.351009
58,369.796199
57,370.352387
58,370.499687
57,371.35383
56,372.35504
55,373.356391
54,374.357822
53,375.359215
54,375.688181
55,376.26312
54,376.360927
55,376.931943
54,377.362577
55,377.533545
56,378.167654
55,378.363186
56,378.954176
55,379.364528
56,379.428879
57,379.988848
56,380.368962
55,381.371037
54,382.374509
53,383.376272
52,384.377734
53,385.168922
52,385.379
53,385.74229
54,386.278184
53,386.380494
54,386.835695
53,387.38216
54,387.425141
55,387.758748
54,388.383211
55,388.45683
56,389.041424
55,389.384739
56,389.78846
57,390.282443
56,390.386502
55,391.387078
54,392.388638
53,393.390177
52,394.390995
51,395.392457
52,395.432612
53,396.018642
52,396.394069
53,396.589886
54,397.143403
53,397.395056
54,397.732399
55,398.340979
54,398.396492
55,398.931287
54,399.397851
55,399.5579
56,399.992346
55,400.399088
54,401.400445
53,402.401882
52,403.402993
51,404.404374
52,405.116281
51,405.405821
52,405.814824
51,406.407029
52,406.452027
53,407.095857
52,407.409015
53,407.711631
54,408.277423
55,408.358537
54,408.41225
55,408.933173
56,409.36357
55,409.414214
56,409.9758
55,410.417065
54,411.419069
53,412.421848
52,413.422975
51,414.424729
52,415.132073
51,415.426163
52,415.817341
53,416.395317
52,416.427078
53,417.007484
52,417.428582
53,417.621376
54,418.219755
53,418.43035
54,418.795901
55,419.142472
54,419.431151
55,419.593823
56,420.169107
55,420.432582
54,421.433933
53,422.435117
52,423.436735
51,424.438389
52,425.312038
51,425.440083
52,425.914301
51,426.441682
52,426.469971
53,427.093634
52,427.443099
53,427.670317
54,428.255971
53,428.444774
54,428.700759
55,428.970068
56,429.296843
55,429.446221
56,429.789198
57,430.298051
56,430.446999
55,431.448759
54,432.450411
53,433.452505
52,434.454338
53,435.427894
52,435.455198
53,435.997148
52,436.456601
53,436.569682
54,436.939693
55,437.379594
54,437.458449
55,437.896849
56,438.374859
55,438.460303
56,438.867325
57,439.321624
56,439.462045
57,439.805385
58,440.222296
57,440.463243
56,441.464817
55,442.466634
54,443.468164
53,444.469614
54,445.340141
53,445.471281
54,445.805649
55,446.399325
54,446.472825
55,447.062627
54,447.475062
55,447.69908
56,448.344074
55,448.476647
56,449.001984
55,449.478021
56,449.650043
57,450.289831
56,450.479102
55,451.481708
54,452.483097
53,453.484633
52,454.486231
53,455.471821
52,455.486994
53,456.133427
52,456.488558
53,456.770127
54,457.395605
53,457.489915
54,458.024327
53,458.491196
54,458.666749
55,459.303302
54,459.49271
55,459.954973
54,460.496039
53,461.497376
52,462.501123
51,463.502505
50,464.504449
51,465.128252
50,465.505861
51,465.807916
52,466.40752
51,466.507037
52,467.041246
51,467.50897
52,467.646333
53,468.32305
52,468.510385
53,468.919276
52,469.512185
53,469.547073
54,470.227231
53,470.513938
52,471.515053
51,472.516622
50,473.51795
49,474.519088
50,475.360116
49,475.520558
50,475.973186
49,476.521952
50,476.62454
51,477.252147
50,477.523095
51,477.869175
52,478.485121
51,478.524487
52,479.096909
51,479.526278
52,479.718595
53,480.367109
52,480.52737
51,481.528826
50,482.530595
49,483.532365
48,484.537427
49,485.51606
48,485.539187
49,486.14122
48,486.540676
49,486.772044
50,487.380805
49,487.5426
50,488.007788
49,488.54408
50,488.635678
51,489.235392
50,489.546162
51,489.823649
52,490.396285
51,490.548413
50,491.549752
49,492.551011
48,493.552641
47,494.554032
46,495.554997
47,495.587155
48,496.195304
47,496.556641
48,496.8012
49,497.38198
48,497.558015
49,497.961397
50,498.544118
49,498.559022
50,499.129165
49,499.560545
50,499.707842
51,500.287974
50,500.562236
49,501.563183
48,502.56494
47,503.566304
46,504.567262
47,505.436091
46,505.568434
47,506.053151
46,506.57005
47,506.647129
48,507.274429
47,507.57112
48,507.891271
49,508.544266
48,508.572458
49,509.148803
48,509.574726
49,509.771552
50,510.354571
49,510.576464
48,511.578886
47,512.580951
46,513.582456
45,514.58336
46,515.495736
45,515.585125
46,516.079941
45,516.587
46,516.662717
47,517.24855
46,517.589023
47,517.843498
48,518.442385
47,518.590759
48,519.046884
47,519.59237
48,519.660304
49,520.274167
48,520.594028
47,521.595086
46,522.597039
45,523.598509
44,524.600127
45,525.428363
44,525.6015
45,525.9544
46,526.548718
45,526.604171
46,527.151863
45,527.610473
46,527.769582
47,528.363391
46,528.612136
47,528.877697
48,529.503863
47,529.613516
48,530.027926
47,530.616751
46,531.620651
45,532.622505
44,533.626238
43,534.627155
44,534.672678
43,535.629338
42,536.63117
41,537.632868
40,538.634461
39,539.635084
40,539.792936
41,539.895308
42,540.135646
41,540.63675
40,541.638123
39,542.639078
38,543.640529
37,544.642216
38,545.264057
37,545.643031
38,545.729964
39,546.168044
40,546.442522
39,546.644582
40,546.685112
41,546.923211
42,547.356033
41,547.645966
42,547.82808
43,548.279599
42,548.647063
43,548.766662
44,549.271447
43,549.648431
44,549.797653
45,550.375195
44,550.650287
43,551.652386
42,552.654024
41,553.654983
40,554.656354
41,555.492865
40,555.65826
41,555.745196
40,556.660178
39,557.66161
38,558.663235
37,559.664705
36,560.666479
35,561.667159
34,562.676319
33,563.678021
32,564.679038
31,565.680665
30,566.682117
29,567.68326
28,568.684843
27,569.686297
26,570.687218
25,571.689007
24,572.691091
23,573.692408
22,574.69404
21,575.695246
