qi,segment,time_played
5,1,0.69058
5,2,1.699174
5,3,2.700505
5,4,3.702044
5,5,4.704044
5,6,5.705295
5,7,6.706686
5,8,7.708087
5,9,8.709357
5,10,9.710786
5,11,10.712243
5,12,11.713693
5,13,12.714982
5,14,13.716561
5,15,14.723084
5,16,15.724417
5,17,16.725869
5,18,17.726975
5,19,18.72852
5,20,19.730001
5,21,20.730958
5,22,21.732437
5,23,22.733797
5,24,23.734961
5,25,24.736251
5,26,25.738568
5,27,26.739039
5,28,27.741308
5,29,28.74303
5,30,29.744671
5,31,30.746108
5,32,31.747166
5,33,32.750468
5,34,33.752258
5,35,34.753651
5,36,35.756954
5,37,36.759082
5,38,37.7605
7,39,38.761786
7,40,39.763003
7,41,40.76428
7,42,41.765536
7,43,42.766924
7,44,43.768268
7,45,44.769988
7,46,45.770999
7,47,46.772496
7,48,47.774332
7,49,48.780272
5,50,49.782073
5,51,50.78699
5,52,51.788322
5,53,52.790015
4,54,53.791022
3,55,54.792314
3,56,55.793936
2,57,56.794961
0,58,57.796316
0,59,58.797793
0,60,59.799007
2,61,60.800541
2,62,61.80257
2,63,62.804441
2,64,63.806976
2,65,64.808394
2,66,65.809666
2,67,66.811139
2,68,67.812755
2,69,68.8142
2,70,69.815062
2,71,70.816375
2,72,71.818028
2,73,72.819017
2,74,73.820394
2,75,74.821949
2,76,75.82308
2,77,76.824827
2,78,77.826289
2,79,78.829252
2,80,79.830599
2,81,80.832194
2,82,81.834041
2,83,82.835104
2,84,83.836462
2,85,84.837756
2,86,85.838968
2,87,86.840348
2,88,87.841716
2,89,88.843058
2,90,89.844661
2,91,90.846343
2,92,91.847017
4,93,92.848436
4,94,93.849807
4,95,94.850979
4,96,95.852487
4,97,96.853951
6,98,97.854966
6,99,98.856008
6,100,99.857468
6,101,100.859122
6,102,101.860572
6,103,102.862098
6,104,103.863094
6,105,104.864404
6,106,105.866136
8,107,106.867115
8,108,107.868549
8,109,108.870201
8,110,109.87437
6,111,110.875144
6,112,111.876715
6,113,112.878553
6,114,113.884966
6,115,114.886539
6,116,115.888171
6,117,116.88958
6,118,117.891008
6,119,118.892301
6,120,119.893603
6,121,120.895162
6,122,121.896898
6,123,122.898195
6,124,123.899047
6,125,124.900374
6,126,125.90209
6,127,126.902985
6,128,127.904553
6,129,128.905941
6,130,129.907019
6,131,130.908701
6,132,131.910797
6,133,132.913554
6,134,133.914987
6,135,134.917631
6,136,135.918975
6,137,136.920538
6,138,137.922225
6,139,138.933782
6,140,139.935152
6,141,140.93659
6,142,141.945798
6,143,142.947093
6,144,143.950059
6,145,144.951277
6,146,145.953474
6,147,146.95501
6,148,147.961957
6,149,148.963122
6,150,149.964983
6,151,150.966787
6,152,151.968562
6,153,152.969997
6,154,153.971004
6,155,154.972555
6,156,155.978859
6,157,156.980639
6,158,157.982148
6,159,158.983039
6,160,159.984676
6,161,160.986038
6,162,161.986971
6,163,162.988537
6,164,163.990104
6,165,164.990995
6,166,165.993188
6,167,166.994541
6,168,168.000454
6,169,169.001851
6,170,170.003168
6,171,171.004848
6,172,172.006149
6,173,173.007096
6,174,174.008733
6,175,175.010447
6,176,176.012007
6,177,177.013603
6,178,178.015137
6,179,179.01654
6,180,180.018082
6,181,181.019052
6,182,182.020606
6,183,183.022188
6,184,184.022991
6,185,185.024594
6,186,186.025954
6,187,187.027004
6,188,188.028549
6,189,189.030132
6,190,190.031062
6,191,191.032867
6,192,192.03524
6,193,193.039014
6,194,194.045971
6,195,195.048794
6,196,196.050376
6,197,197.052124
6,198,198.053613
6,199,199.055016
6,200,200.056565
6,201,201.058214
6,202,202.059009
6,203,203.060628
6,204,204.062208
6,205,205.063062
6,206,206.064996
6,207,207.066599
6,208,208.06821
6,209,209.069729
6,210,210.071008
6,211,211.072639
6,212,212.07448
6,213,213.076376
6,214,214.082052
6,215,215.083047
6,216,216.084878
6,217,217.086564
6,218,218.09341
6,219,219.095017
6,220,220.096715
6,221,221.098082
6,222,222.099051
6,223,223.100583
6,224,224.102389
6,225,225.104028
6,226,226.105529
6,227,227.106934
6,228,228.108661
6,229,229.110165
6,230,230.1121
6,231,231.113635
6,232,232.115193
6,233,233.116967
6,234,234.118596
6,235,235.119032
6,236,236.120737
6,237,237.122518
6,238,238.123123
6,239,239.125576
6,240,240.13099
